S.No.,ISBN,Title,Author,Language,Price,Pages,AgeGrp,Cover_URL,Image_Path
1,9788123761671,A Baby Hornbill Learns to Fly,Dilip Kumar Barua,H/E,50,16p,6+,http://books.google.com/books/content?id=wg-MDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_0.png
2,9788123726663,A Baby Lion Learns to Roar,Indu Rana,H/E,65,24p,6+,,image_1.png
3,9788123746234,A Bond of Love,Pushpa Saxena,H/E,50,16p,8+,http://books.google.com/books/content?id=A43kEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_2.png
4,9788123735238,A Bride Inside a Casket and Other Tales,Manoj Das,H/E,75,96p,12+,,image_3.png
5,9788123702391,A Crow's Tale,Judhajit Sengupta,H/E,50,16p,Pre-School,http://books.google.com/books/content?id=l1vijgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_4.png
6,9788123742366,A Friend Forever,Aindrila Mitra,H/E,65,24p,6+,http://books.google.com/books/content?id=6Pc4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_5.png
7,9788123747101,A Happy Sunday,Debasish Deb,H/E,55,20p,6+,http://books.google.com/books/content?id=Wa6p0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_6.png
8,9788123766836,A Helping Hand,Samaresh Chatterjee,H/E,50,16p,6+,http://books.google.com/books/content?id=dRaaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_7.png
9,9788123761343,A House of Bamboo,Debasish Deb,H/E,50,16p,6+,,image_8.png
10,9788123767482,A House with a Terrace,Tanuka Bhaumik,H/E,65,24p,8+,,image_9.png
11,9788123743110,A Journey,Jagdish Joshi,H/E,85,36p,8+,http://books.google.com/books/content?id=i0rh8wuNVRMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_10.png
12,9788123700267,A Journey through the Universe,Jayant Narikar,H/E,45,64p,12+,http://books.google.com/books/content?id=m-0lDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,image_11.png
13,9788123725741,A Journey to Gaumukh,Sheila Sharma,H/E,50,64p,12+,http://books.google.com/books/content?id=g4MMAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_12.png
14,9788123787107,A Kite's Story,Sukanya Datta,H/E,185,106p,12+,http://books.google.com/books/content?id=MefYzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_13.png
15,9788123780030,A Lesson from Grandma,Debashish Majumdar,H/E,50,16p,8+,http://books.google.com/books/content?id=0k4JzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_14.png
16,9788123765969,A New Dawn,Baldev Singh,H/E,50,16p,8+,http://books.google.com/books/content?id=CrzyAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,image_15.png
